title,company,location,description,salary_min,salary_max,created,category
Data Analyst,"NTT DATA, Inc.",India,"Data Analyst Experience 4 Years Job Location/Work Mode Bangalore GDC – Hybrid Notice Period 0-30 Days Skills/Domain Experience Networking/Infra domain experience is must. SQL, Data Visualization tools, Dashboarding, Python",,,2025-12-12T09:49:02Z,IT Jobs
Data Analyst,Vasu Travel & Tourism LLC,India,"Company Description Vasu Travel & Tourism LLC specializes in comprehensive travel solutions, serving both B2B and B2C clients with competitive travel tickets, visa assistance, and reliable transfer services. The company is dedicated to ensuring seamless travel experiences, whether for corporate purposes or personal adventures. Known for their 24/7 support and customized solutions, Vasu Travel & Tourism LLC tailors services to meet unique travel requirements. With a focus on hassle-free journeys…",,,2025-12-26T08:37:57Z,IT Jobs
Data Analyst,Versetti Family Office,India,"Company Description Versetti Family Office, founded by serial entrepreneur Angel Versetti, is dedicated to advancing bold longevity ventures through funding, strategic guidance, and operational support. Operating as a Longevity Venture Builder, the company acts as a founding investor, commercial co-founder, and incubator, focusing on innovative startups with science-backed intellectual property. With an initial commitment of up to $4M per project during the pre-seed/seed stage and access to ext…",,,2025-12-26T08:39:33Z,IT Jobs
Data Analyst,SysTechCorp Inc,"Hyderabad, Telangana","Job Title: Data Analyst/Engineer Location: Hyderabad Experience: 3-5 years Budget: 10.56 LPA Job description : Role Overview: We are seeking a skilled Data Analyst/Engineer on a contract basis to support our Process Mining initiatives. This role will focus on sourcing and transforming data, building analytics, and enabling automation through Celonis EMS. The ideal candidate will be a self-starter with strong technical expertise and the ability to work independently. Key Responsibilities: • Sour…",,,2025-12-05T01:19:34Z,IT Jobs
Data Analyst,Tata Consultancy Services,"Bangalore, Karnataka","Job title: Data Analyst Job Location: Bangalore Experience : 5-13 years Virtual Interview : 28th Nov (Friday) Job Description: Visualization and Reporting Tools (e.g., PowerBI, Tableau), good data analytics and better communication skills Visualization and Reporting Tools (e.g., PowerBI, Tableau), Good data analytics Excellent communication skills within wholesaler to understand the question from vendors Getting the requirements through product team Performing the analysis on the data based on …",,,2025-11-26T09:58:19Z,IT Jobs
Data Analyst,Brace Infotech Private Ltd,"Hyderabad, Telangana","Job Title: Data Analyst Work location: Hyderabad Work Mode: Hybrid Exp: 3 to 6years Notice Period: Immediate to 15Days We are seeking a highly skilled Tableau Developer with strong SQL expertise and a solid understanding of large-scale data environments , should work as an individual contributor . Required Skills: Proven experience developing dashboards and visualizations in Tableau Strong proficiency in SQL Good understanding of large-scale data processing and analytics Experience working with…",,,2025-12-18T02:38:27Z,IT Jobs
Data Analyst,Care.fi,India,"Company Description Today, an Indian hospital revenue is largely dominated by Insurance payers - Govt  Private. With 200 payers in the mix, the overall revenue cycle management (RCM) in India is broken, opaque, and complex filled with unexpected shortfalls and delayed realizations. At Care.fi, we are building India’s first AI-led RCM platform for hospitals which will enable them to solve these pitfalls and thereby improving margins. Backed by marquee investors such as Peak XV (erstwhile Sequoia…",,,2025-12-19T08:56:51Z,IT Jobs
Data Analyst,Tata Consultancy Services,"Gandhinagar, Gujarat","TCS is hiring for Data Analyst role. Shift - Rotational 24/7 Location - Gujarat Industry - Retail Exp - 2 - 6 years Qualification :- Minimum 15 years of regular, full-time education (10  2  3) is mandatory. Job description- Able to write Quantum tabulation program scripts. Able to write data edits in SPSS and perform data analysis in SPSS. Able to work with multiple data formats, viz. ASCII, SPSS, Excel, Dimensions etc Able to work on Response level data, weighting, data calculations and data e…",,,2025-12-06T01:25:34Z,IT Jobs
Data Analyst,Risebird,India,"Hi, We are seeking a detail-oriented and analytical Data Analyst to join our team. In this role, you will collect, process, and analyze data to help inform business decisions, uncover trends, and identify opportunities for growth and optimization. Key Responsibilities: Collect and clean data from various sources to ensure accuracy and consistency Analyze complex datasets to identify trends, patterns, and insights Develop dashboards and reports using tools like Tableau, Power BI, or Excel Collab…",,,2025-11-30T09:49:44Z,IT Jobs
Data Analyst,Delivery Hero,India,"About Delivery Hero India: Delivery Hero India is part of Delivery Hero Group, the world’s leading local delivery platform. We operate in over 70 countries worldwide, powered by tech but driven by people. Headquartered in Berlin, Germany. Delivery Hero has been listed on the Frankfurt Stock Exchange since 2017 and is part of the MDAX stock market index. About the role: We are looking for a detail-oriented and analytical Data Analyst to join our team. The ideal candidate will excel in data explo…",,,2025-12-11T09:25:20Z,IT Jobs
Data Analyst,Unacademy,India,"About the Role: We're looking for a sharp and driven Data Analyst to join our fast-paced team. If you're passionate about data, dashboards, and insights, this is your chance to work directly with our top leaders, shaping high-impact decisions at the top. Key Responsibilities: Build and maintain dynamic dashboards and reports Collaborate with leadership to drive business strategy Ensure timely and accurate data updates across systems Visualize data and draw insights to support decision making Wh…",,,2025-12-18T08:43:47Z,IT Jobs
Data Analyst,Persistent Systems,"Pune, Maharashtra","About Position: The Senior Data Analyst role is designed for an expert-level professional who can transform raw data into actionable insights. This position focuses on building advanced dashboards, integrating data sources, and designing scalable data architectures. You will work closely with stakeholders to deliver high-quality analytics solutions that drive business decisions, leveraging tools like Power BI and Snowflake. Role: Data Analyst Location: All Persistent Locations Experience: 7 Yea…",,,2025-12-12T09:45:49Z,IT Jobs
Data Analyst,Tritonium,India,"About Tritonium: Tritonium is an AI-powered SaaS platform that transforms app store reviews into actionable insights for mobile product teams. We generate rich data about user behavior, product usage, and AI-driven insights. We're looking for a Data Analyst to help us understand our customers, optimize our product, and drive data-informed decisions across the company. Job Responsibilities: Build and maintain dashboards that track key product and business metrics. Analyze user behavior and produ…",,,2025-12-12T09:53:34Z,IT Jobs
Data Analyst,Hero Vired,"Delhi, India","About Hero Vired: Would you like to be part of an exciting, innovative, and high-growth startup from one of the largest and most well-respected business houses in the country - the Hero Group? Hero Vired is a premium learning experience offering industry-relevant programs and world-class partnerships, to create the change-makers of tomorrow. At Hero Vired, we believe everyone is made of big things. With the experience, knowledge, and expertise of the Hero Group, Hero Vired is on a mission to ch…",,,2025-12-26T08:39:29Z,IT Jobs
Data Analyst,Battery Smart,India,"About the Role As a Data Analyst at Battery Smart, you will play a key role in driving data-backed decision-making across our fast-growing EV ecosystem. You will be responsible for collecting, analyzing, and interpreting operational and business data to generate actionable insights. Working closely with Strategy, Operations, and Product teams, you’ll help identify growth opportunities, optimize station performance, and improve driver experience through meaningful analytics and reporting. Your w…",,,2025-12-22T12:07:42Z,IT Jobs
Data Analyst,DOMO Chemicals,"Navi Mumbai, Maharashtra","The Data Analyst supports the global digitalization strategy by enabling new product development, improving laboratory efficiency, and supporting cross-functional teams (R&D, Sales, Marketing, OEM). The role contributes to the setup, maintenance, and continuous improvement of a global materials data management system, ensuring high data quality and usability. Major Job Responsibilities Develop and implement digitalization tools to improve laboratory and business efficiency Build workflows, auto…",,,2025-12-19T08:58:57Z,IT Jobs
Data Analyst,AEDALSOFT,India,"About Aedalsoft Aedalsoft is a software development company delivering scalable IT solutions across SaaS, PaaS, and custom software models. We work with global clients to build data-driven platforms that support informed business decisions. Role Overview We are looking for a Data Analyst who can collect, analyze, and interpret data to generate actionable insights. The role focuses on data reporting, visualization, and supporting stakeholders with accurate, insight-driven analysis. Key Responsib…",,,2025-12-25T13:39:20Z,IT Jobs
Data Analyst,MS CLINICAL RESEARCH,"Bangalore, Karnataka","Job Title : Data Analyst Location : Indiranagar, Bangalore Job Type : Full-time Experience : 4-6 years Job Overview We are looking for a skilled Data Management Specialist to support data validation, analysis, and reporting for clinical and preclinical studies. The role involves ensuring data accuracy, resolving discrepancies, and generating insights to support research objectives. Ideal candidates will be detail-oriented, collaborative, and experienced in data handling and compliance. Key Resp…",,,2025-12-11T09:26:57Z,IT Jobs
Data Analyst,NEXUS CONSULTING SOLUTIONS,"Delhi, India","Job Title: Data Analyst – Credit Team (Personal Loan Division) Employment Type: This is an off-roll position, and payroll will be managed by a leading staffing partner. Location: 9–10, 4th Floor, Express Building, Bahadur Shah Zafar Marg, Balmiki Basti, Vikram Nagar, New Delhi – 110002 Work Mode: Work from Office (5 days a week) About DMI Finance Pvt. Ltd. DMI Finance Pvt. Ltd. is a leading NBFC offering innovative digital lending solutions. We leverage data-driven decision-making and technolog…",,,2025-12-25T13:37:44Z,IT Jobs
Data Analyst,H.K.Designs,"Mumbai, Maharashtra","Location: Mumbai (SEEPZ) Company: Great Place to Work – 3 Years in a Row Fastest-Growing Company in Our Sector About the Company We are one of the world’s largest and fastest-growing lab-grown diamond and fine jewellery manufacturers, proudly certified as a Great Place to Work for 3 consecutive years. We work with leading overseas clients, with the USA as our primary market, and are expanding our data capabilities to support high-quality global operations. Role Overview We are looking for a det…",,,2025-11-29T10:02:06Z,IT Jobs
Data Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu","Greetings from TATA CONSULTANCY SERVICES! Skill: Data Analyst Years of Experience: 5 - 10 years Location: Chennai/ Bangalore Job Description:- Role & Responsibilities Acquire and mine data from primary and secondary sources, then reorganizing said data in a format that can be easily read by either human or machine. Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts. Active role…",,,2025-12-12T09:50:41Z,IT Jobs
Data Analyst,RSM US LLP,India,"As a Financial Data Analyst 2 you will support the finance department in producing accurate and timely financial reports, performing basic analysis, and assisting in the continuous improvement of reporting processes. This role is ideal for a candidate eager to learn, with strong analytical skills, attention to detail, and an interest in financial analysis and data reporting The Analyst is responsible for the development, automation, compilation and analysis of data. Essential Duties Key Respons…",,,2025-12-18T02:41:10Z,Accounting & Finance Jobs
Data Analyst,HCLTech,"Lucknow, Uttar Pradesh","Job description HCLTech Hiring Freshers for Data Analysis Position Walk-in Date - 5th December - 6th December , 11.00 AM - 2.00 PM Address - HCLTech, Village Kanjehara & Chack Gajaria Farms, Sultanpur Road, Mastemau, Lucknow, Uttar Pradesh 226002 Take entry from Gate1. SDC1 Building, Ground floor Contact - Aman Chhabra Role: Data Analyst Training: 1-Year  L1 Certification Job Location - HCLTech, Lucknow Shift Timings - Day Shifts Role & Responsibilities Performing the Data Analysis on the Custo…",,,2025-12-02T23:06:51Z,"Energy, Oil & Gas Jobs"
Data Analyst,Hays,"Chennai, Tamil Nadu","This is contract to hire opportunity with 3 years of experience onwards., If you are interested pls share your resume to Karthik.Ravichandran@hays.com.au with below details. Over all exp; Relevant exp; Current location; CCTC; ECTC; Notice period; Job Description Essential for the role Quantitative bachelor’s degree from an accredited college or university is required in one of the following or related fields: Engineering, Operations Research, Management Science, Economics, Statistics, Applied M…",,,2025-12-06T09:40:46Z,IT Jobs
Data Analyst,Evoke HR Solutions Pvt. Ltd.,"Pune, Maharashtra","Hiring: Analyst – Vendor Management / Data Operations Location: Pune Experience: 3 years Compensation: ₹12.5 LPA (Fixed)  18% Variable Qualification: Master’s degree  Role Overview We are looking for an Analyst with strong data handling and advanced Excel skills to support vendor data, compliance, reporting, and risk monitoring activities. This role involves working closely with internal stakeholders to maintain accurate vendor information and support regulatory and operational requirements.  K…",,,2025-12-25T13:41:08Z,IT Jobs
Data Analyst,Visit Health,"Noida, Ghaziabad","About Us Visit Health is a pioneering health-tech platform, founded in 2016 by BITS Pilani alumni, dedicated to making healthcare accessible, affordable, and preventive. Originating as a telemedicine platform during the 2015 Swine Flu epidemic, Visit Health has grown into an all-in-one wellness ecosystem that connects doctors, insurers, and millions of families. Our services range from physical and mental wellness to OPD benefits, empowering both individuals and corporations to prioritize well-…",,,2025-12-26T08:36:43Z,IT Jobs
Data Analyst,Northern Arc Capital,"Chennai, Tamil Nadu","NACL is hiring for the Chennai location and is looking for candidates who can join immediately. Only immediate joiners will be considered. Experience and skills: 3 years of experience in financial services analytics, preferably in banking, insurance, or investment management. Proficiency in SQL and Python/Scala/Java for large-scale data processing and analysis. Expertise with big data technologies, including Spark, Data Lake, Delta Lake, and Hive. Strong quantitative and problem-solving skills …",,,2025-11-28T09:46:36Z,IT Jobs
Data Analyst,Veltris,India,"We are seeking a highly skilled Dental Practice Management (PMS) Analyst with strong domain knowledge of dental clinic operations, practice management systems, and financial workflows . The ideal candidate will have hands-on experience with major dental PMS platforms and a deep understanding of clinical, operational, and financial interfaces. Experience: 4 to 8 years Location- Remote(India) Key Responsibilities Analyse, interpret, and validate data across various Dental Practice Management Soft…",,,2025-12-12T09:53:27Z,Accounting & Finance Jobs
Data Analyst,KPMG India,"Bangalore, Karnataka","About KPMG in India : KPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijaya…",,,2025-11-19T08:15:57Z,IT Jobs
Data Analyst,Balancehero India,India,"About Balancehero:- Balancehero India Pvt. Ltd. (BHI), the wholly-owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates the mobile app “True Balance”- a one-stop destination for financial services.” Founded by Charlie Lee in Korea in 2014, Balancehero started its operations in India in the year 2016. It started off as a balance check application and the company has expanded its business model to financial services. The company aims to build a financial platform for the next bi…",,,2025-11-30T09:48:24Z,IT Jobs
Data Analyst,Deltacubes,India,"Technical Skills  Experience with Opentext InfoArchive or similar archiving platforms is an asset.  Hands-on experience with enterprise archiving platforms.  Strong understanding of data formats and archival standards (e.g., TXT, XML, JSON, PDF/A, DOCX, OAIS, METS, PREMIS).  Competency in SQL/NoSQL and databases for managing metadata, indexing, and related tasks.  Scripting skills (e.g., Python, Bash) to support automation and data migration workflows.  Expertise in designing, implementin…",,,2025-12-26T08:38:17Z,IT Jobs
Data Analyst,Impetus,"Noida, Ghaziabad","We are looking that person should have strong experience in Data Analytics part along with Power BI, Data Modeling, Python, SQL, ETL, or Bigquery. If you are good in all of that & can join us immediately please do share your resume at - vaishali.tyagi@impetus.com Experience - 4 to 8 Years Location- Noida/Gurgaon, Bangalore, Hyderabad, Pune, Indore NP- 0 to 15 Days only Required Skills SQL (Bigquery/Google Cloud) – Good to have Excel – Must have Python – Must have – strong proficiency Power BI –…",,,2025-12-03T08:59:09Z,IT Jobs
Data Analyst,Nezda Global,India,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. Responsibilities Understand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashion Qualifications B…",,,2025-12-21T08:17:13Z,IT Jobs
Data Analyst (Remote),Generative Futures,India,"Remote Senior Data Analyst We’re looking for an experienced Data Analyst to join an exciting US-based startup with excellent funding. This position will be fully remote, with flexibility around the timezone worked. In this role, you’ll analyze complex datasets, extract meaningful insights, and present data-driven recommendations to support decision-making and business strategies. Key Requirements: 4 years of experience as a Data Analyst or in a similar analytical role Strong proficiency in data…",,,2025-12-24T10:14:58Z,IT Jobs
Data Analyst Trainer,REGex Software Services,"Jaipur, Rajasthan","About Us REGex Software is a leading EdTech and IT company based in Jaipur, dedicated to bridging the gap between learning and innovation. We empower learners through hands-on training in cutting-edge technologies — and now we’re looking for a Graphic Design Intern to help us tell our story visually. Role Overview: We are seeking a knowledgeable and passionate Data Analyst Trainer to join our team. The ideal candidate has a deep understanding of front-end and Backend technologies and is excited…",,,2025-12-24T00:06:40Z,IT Jobs
Data Analyst - Remote,Abekus,India,"Company Description Abekus is a career advancement and upskilling platform designed to prepare individuals for success in today’s competitive job market. By combining adaptive learning, skill assessments, competitions, and community engagement, Abekus empowers users to strengthen their abilities and showcase their talents. The platform focuses on domains like software development, data science, communication, and workplace readiness to bridge the gap between learning and employment. Abekus enab…",,,2025-12-26T08:34:44Z,IT Jobs
Senior Data Analyst,DIGITAL MIND CONSULTANCY SERVICES PRIVATE LIMITED,"Bangalore, Karnataka","About the Company We are looking for an experienced Senior Data Analyst to drive data-driven decision-making across the organization. The ideal candidate will have strong analytical skills, deep experience with data tools, and the ability to translate complex data into actionable insights for business stakeholders. About the Role The Senior Data Analyst will be responsible for leading data analysis initiatives and collaborating with business stakeholders to deliver insights that inform strategi…",,,2025-12-19T08:59:28Z,IT Jobs
Lead Data Analyst,Open Financial Technologies,"Bangalore, Karnataka","Job Description : Lead Data Analyst About Open: OPEN is a leading connected finance platform that empowers finance teams to manage their cashflow better by managing all their business finance systems, right from banking to accounting ERP, payments,CRM, HRMS etc. - in one place. OPEN, India's 100th Unicorn, has been awarded the ‘Best Workplace 2024’ by IEEE in 2024. And was recognised by Forbes India and D Globalist’s as 'Top 10 companies among 200 Companies' and was featured in IDFC FIRST Priva…",,,2025-12-06T09:35:05Z,Accounting & Finance Jobs
Data Analyst – Gaming,"Ruby Seven Studios, Inc.","Kochi, Ernakulam","We are looking for a data-driven, player-focused Data Analyst with exposure to AI and data query language to join our analytics team. You will work closely with Product, Game Design, UA, LiveOps, and Monetization teams to analyze player behavior, optimize game performance, and support AI-powered insights that enhance player engagement and revenue. Key Responsibilities: Player & Game Insights Analyze in-game player behavior, progression, economy, funnels, and retention patterns. Support live-ops…",,,2025-12-06T09:29:47Z,IT Jobs
Clinical Data Analyst,TRDFIN Support Services Pvt Ltd,"Bangalore, Karnataka","Job Overview We are seeking a detail oriented Healthcare Data Analyst to analyze clinical, operational, and financial healthcare data to support data driven decision making. The role focuses on improving patient outcomes, operational efficiency, and regulatory reporting through accurate data insights and analytics. Key Responsibilities Analyze healthcare datasets including clinical, claims, EHR, and operational data. Develop dashboards and reports to support clinical, operational, and business …",,,2025-12-18T08:40:01Z,IT Jobs
Senior Data Analyst,Clarksons Research,India,"About the job Join our research team as an experienced data analyst, delivering actionable data driven insights across diverse global shipping, trade, offshore, renewables and energy datasets. You will help us build and derive valuable data used widely to analyse impacts of market trends, geopolitics, and decarbonisation. What you’ll be doing: Use the latest data science tools and techniques for data processing, analysis and visualisation Collaborate with stakeholders for requirement gathering,…",,,2025-12-21T08:18:13Z,"Energy, Oil & Gas Jobs"
Senior Data Analyst,Beebom,"Noida, Ghaziabad","Beebom is hiring a Senior Data Analyst for our in-house Tech team to work on our new product, Beebom’s Gadgets. In this role, you will own the analytics function end-to-end — from data exploration to driving measurable business impact. You’ll take ownership of analyzing data, understanding user behavior, and tracking product performance to guide data-driven decisions across the organization. You will be responsible for collecting, organizing, analyzing, and visualizing data, ensuring it is accu…",,,2025-11-20T08:19:15Z,IT Jobs
Business Data Analyst,Tata Consultancy Services,"Kolkata, West Bengal","Greetings from TCS! Job Title: Business Data Analyst Required Skillset: Data Governance, Risk & Platform Security Program Location: Kolkata/ Ahmedabad. Experience Range: 6 years Job Description Must Have: Conduct data analysis to support business case assumptions and benefit modelling. · Profile and assess data sources for quality, completeness, and sensitivity. · Develop and maintain metrics and dashboards to monitor data governance maturity and risk mitigation. · Collaborate with data steward…",,,2025-12-02T08:55:18Z,IT Jobs
Associate Data Analyst,TopN Analytics,"Mumbai, Maharashtra","We are seeking a fresher Data Analyst in Mumbai, with relevant skills in SQL & Python programming. As a Data Analyst at TopN Analytics, you will play a critical role in delivering high-quality analytics solutions to our esteemed clients. You will collaborate closely with client stakeholders, project managers, and cross-functional teams to gather business requirements, perform data analysis, and deliver actionable insights that drive business growth and efficiency. This is a hands-on role that r…",,,2025-12-25T17:39:58Z,IT Jobs
Manager Data Analyst,Dentsu India,India,"Awarded the Oscars of the advertising world, The Cannes Global Agency of the Year 2022 (a first for India!) Dentsu international comprises of six leadership brands - Carat, dentsu X, iProspect, Isobar, dentsuMB and Merkle, each supported by its specialist divisions and scaled services. With best-in-class services and solutions in Media, Customer Experience Management (CXM), and Creative, dentsu international operates in over 145 markets worldwide with more than 66,000 dedicated talented employe…",,,2025-12-19T08:57:39Z,"PR, Advertising & Marketing Jobs"
Senior Data Analyst,Capco,"Bangalore, Karnataka","Role: Senior Data Analyst Experience: 7 Years Location : Bengaluru, Pune Immediate joiners Kindly fill the below form. https://forms.office.com/r/nCZ440z2pc Job Requirements: Must have skills: Python, Pyspark and SQL • Excellent analytical skills and commercial acumen. • Good understanding of the control requirements surrounding data handling • Experience of big data programmes preferable • Strong verbal and written communication skills • Strong self-starter with strong change delivery skills w…",,,2025-12-13T09:40:42Z,IT Jobs
Fraud Data Analyst,Airtel Payments Bank,India,Fraud Analytics 1. Develop Fraud Detection Models: Design and deploy predictive analytics models and machine learning algorithms to identify suspicious activities and patterns. 2. Enhance Systems: Continuously optimize fraud monitoring systems to improve detection accuracy and reduce false positives. 3. Data-Driven Insights: Analyze internal and external data sources to identify vulnerabilities and recommend proactive measures. 4. Performance Metrics: Define and track key performance indicators…,,,2025-12-09T09:02:13Z,IT Jobs
Clinical Data Analyst,Agilisium Consulting,"Hyderabad, Telangana","About Agilisium Agilisium is the Life Sciences industry’s premier Autonomous Agentic AI and Applied AI Services Company . We reimagine, develop, and co-develop AI-engineered business processes that are autonomous, scalable, and purpose-built for Life Sciences. Over the past decade, we’ve established deep credibility across global pharma and biotech organizations through our specialized expertise and consistent growth: Everest Group – Recognized as a Leader in Life Sciences Digital Services for …",,,2025-12-19T08:54:26Z,IT Jobs
Senior Data Analyst,VMock,India,"About the Role We are looking for a Sr. Data Analyst who can transform complex, non-numerical datasets into meaningful insights using a blend of data analytics and large language model (LLM) capabilities. This role is ideal for someone who is passionate about analyzing text, audio, and video data , skilled at leveraging prompt engineering for deeper qualitative insights, and can bridge the gap between AI-driven analysis and business problem-solving. Key Responsibilities Analyze and interpret un…",,,2025-12-11T09:27:41Z,IT Jobs
Senior Data Analyst,ADM,"Bangalore, Karnataka","Position Summary: As a part of our transformation, we know that data is at the center of everything that we do. We seek a dedicated professional to help take us to the next level of our Data & Analytics journey. We depend on our Data Analysts to investigate data seeking opportunities to reduce duplicates, improve the quality and discover anomalies that may exist, and then create the specifications and designs that will allow us to develop intuitive solutions. Job Responsibilities: Provide deep …",,,2025-12-19T08:56:00Z,IT Jobs
Senior Data Analyst,Sambodhi Research and Communications Pvt. Ltd.,"Tamil Nadu, India","About us: Sambodhi Research and Communications Pvt Ltd. provides evidence-based insights to seed and catalyze scalable social impact. Our research, data, strategy consulting, monitoring, and evaluation solutions support implementers, governments, foundations, and donors in the design and execution of programs and policies that improve the lives of people and the planet. We are domain-agnostic and work across a spectrum of areas, including public health, WASH, natural resource management, energy…",,,2025-12-25T13:40:46Z,Scientific & QA Jobs
Portfolio Data Analyst,Arcana,India,"We are seeking dynamic Portfolio Data Analysts to join our team and collaborate closely with our founders, financial analysts, product managers, and engineers. In this role, you'll play a pivotal part in supporting our client onboarding and success team. You'll need a strong ability to analyze financial data, translate insights into actionable strategies, and effectively guide clients through our platform's features to drive their success. Responsibilities: Analyze and onboard portfolio data fr…",,,2025-12-10T19:02:09Z,IT Jobs
Business Data Analyst,IMI,"Bangalore, Karnataka","Role Overview The Business Data Analyst will play a key role in transforming IMI’s monthly and forecast reporting by developing dynamic dashboards and reports using Power BI. This position will enhance visibility and decision-making across IMI Sector Operations by delivering automated, insightful analytics that drive efficiency and clarity. The ideal candidate will bring strong Power BI expertise and a passion for continuous improvement in reporting tools, processes, and analysis. Familiarity w…",,,2025-12-09T09:01:30Z,IT Jobs
