search_role,title,company,location,description,salary_min,salary_max,created,category
data analyst,Data Analyst,Deltacubes,India,"Technical Skills  Experience with Opentext InfoArchive or similar archiving platforms is an asset.  Hands-on experience with enterprise archiving platforms.  Strong understanding of data formats and archival standards (e.g., TXT, XML, JSON, PDF/A, DOCX, OAIS, METS, PREMIS).  Competency in SQL/NoSQL and databases for managing metadata, indexing, and related tasks.  Scripting skills (e.g., Python, Bash) to support automation and data migration workflows.  Expertise in designing, implementin…",,,2025-12-26T08:38:17Z,IT Jobs
data analyst,Data Analyst,Impetus,"Noida, Ghaziabad","We are looking that person should have strong experience in Data Analytics part along with Power BI, Data Modeling, Python, SQL, ETL, or Bigquery. If you are good in all of that & can join us immediately please do share your resume at - vaishali.tyagi@impetus.com Experience - 4 to 8 Years Location- Noida/Gurgaon, Bangalore, Hyderabad, Pune, Indore NP- 0 to 15 Days only Required Skills SQL (Bigquery/Google Cloud) – Good to have Excel – Must have Python – Must have – strong proficiency Power BI –…",,,2025-12-03T08:59:09Z,IT Jobs
data analyst,Data Analyst,Nezda Global,India,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users. Responsibilities Understand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashion Qualifications B…",,,2025-12-21T08:17:13Z,IT Jobs
data analyst,Data Analyst (Remote),Generative Futures,India,"Remote Senior Data Analyst We’re looking for an experienced Data Analyst to join an exciting US-based startup with excellent funding. This position will be fully remote, with flexibility around the timezone worked. In this role, you’ll analyze complex datasets, extract meaningful insights, and present data-driven recommendations to support decision-making and business strategies. Key Requirements: 4 years of experience as a Data Analyst or in a similar analytical role Strong proficiency in data…",,,2025-12-24T10:14:58Z,IT Jobs
data analyst,Data Analyst Trainer,REGex Software Services,"Jaipur, Rajasthan","About Us REGex Software is a leading EdTech and IT company based in Jaipur, dedicated to bridging the gap between learning and innovation. We empower learners through hands-on training in cutting-edge technologies — and now we’re looking for a Graphic Design Intern to help us tell our story visually. Role Overview: We are seeking a knowledgeable and passionate Data Analyst Trainer to join our team. The ideal candidate has a deep understanding of front-end and Backend technologies and is excited…",,,2025-12-24T00:06:40Z,IT Jobs
data analyst,Data Analyst - Remote,Abekus,India,"Company Description Abekus is a career advancement and upskilling platform designed to prepare individuals for success in today’s competitive job market. By combining adaptive learning, skill assessments, competitions, and community engagement, Abekus empowers users to strengthen their abilities and showcase their talents. The platform focuses on domains like software development, data science, communication, and workplace readiness to bridge the gap between learning and employment. Abekus enab…",,,2025-12-26T08:34:44Z,IT Jobs
data analyst,Senior Data Analyst,DIGITAL MIND CONSULTANCY SERVICES PRIVATE LIMITED,"Bangalore, Karnataka","About the Company We are looking for an experienced Senior Data Analyst to drive data-driven decision-making across the organization. The ideal candidate will have strong analytical skills, deep experience with data tools, and the ability to translate complex data into actionable insights for business stakeholders. About the Role The Senior Data Analyst will be responsible for leading data analysis initiatives and collaborating with business stakeholders to deliver insights that inform strategi…",,,2025-12-19T08:59:28Z,IT Jobs
data analyst,Lead Data Analyst,Open Financial Technologies,"Bangalore, Karnataka","Job Description : Lead Data Analyst About Open: OPEN is a leading connected finance platform that empowers finance teams to manage their cashflow better by managing all their business finance systems, right from banking to accounting ERP, payments,CRM, HRMS etc. - in one place. OPEN, India's 100th Unicorn, has been awarded the ‘Best Workplace 2024’ by IEEE in 2024. And was recognised by Forbes India and D Globalist’s as 'Top 10 companies among 200 Companies' and was featured in IDFC FIRST Priva…",,,2025-12-06T09:35:05Z,Accounting & Finance Jobs
data analyst,Data Analyst – Gaming,"Ruby Seven Studios, Inc.","Kochi, Ernakulam","We are looking for a data-driven, player-focused Data Analyst with exposure to AI and data query language to join our analytics team. You will work closely with Product, Game Design, UA, LiveOps, and Monetization teams to analyze player behavior, optimize game performance, and support AI-powered insights that enhance player engagement and revenue. Key Responsibilities: Player & Game Insights Analyze in-game player behavior, progression, economy, funnels, and retention patterns. Support live-ops…",,,2025-12-06T09:29:47Z,IT Jobs
data analyst,Clinical Data Analyst,TRDFIN Support Services Pvt Ltd,"Bangalore, Karnataka","Job Overview We are seeking a detail oriented Healthcare Data Analyst to analyze clinical, operational, and financial healthcare data to support data driven decision making. The role focuses on improving patient outcomes, operational efficiency, and regulatory reporting through accurate data insights and analytics. Key Responsibilities Analyze healthcare datasets including clinical, claims, EHR, and operational data. Develop dashboards and reports to support clinical, operational, and business …",,,2025-12-18T08:40:01Z,IT Jobs
data analyst,Senior Data Analyst,Clarksons Research,India,"About the job Join our research team as an experienced data analyst, delivering actionable data driven insights across diverse global shipping, trade, offshore, renewables and energy datasets. You will help us build and derive valuable data used widely to analyse impacts of market trends, geopolitics, and decarbonisation. What you’ll be doing: Use the latest data science tools and techniques for data processing, analysis and visualisation Collaborate with stakeholders for requirement gathering,…",,,2025-12-21T08:18:13Z,"Energy, Oil & Gas Jobs"
data analyst,Senior Data Analyst,Beebom,"Noida, Ghaziabad","Beebom is hiring a Senior Data Analyst for our in-house Tech team to work on our new product, Beebom’s Gadgets. In this role, you will own the analytics function end-to-end — from data exploration to driving measurable business impact. You’ll take ownership of analyzing data, understanding user behavior, and tracking product performance to guide data-driven decisions across the organization. You will be responsible for collecting, organizing, analyzing, and visualizing data, ensuring it is accu…",,,2025-11-20T08:19:15Z,IT Jobs
data analyst,Business Data Analyst,Tata Consultancy Services,"Kolkata, West Bengal","Greetings from TCS! Job Title: Business Data Analyst Required Skillset: Data Governance, Risk & Platform Security Program Location: Kolkata/ Ahmedabad. Experience Range: 6 years Job Description Must Have: Conduct data analysis to support business case assumptions and benefit modelling. · Profile and assess data sources for quality, completeness, and sensitivity. · Develop and maintain metrics and dashboards to monitor data governance maturity and risk mitigation. · Collaborate with data steward…",,,2025-12-02T08:55:18Z,IT Jobs
data analyst,Associate Data Analyst,TopN Analytics,"Mumbai, Maharashtra","We are seeking a fresher Data Analyst in Mumbai, with relevant skills in SQL & Python programming. As a Data Analyst at TopN Analytics, you will play a critical role in delivering high-quality analytics solutions to our esteemed clients. You will collaborate closely with client stakeholders, project managers, and cross-functional teams to gather business requirements, perform data analysis, and deliver actionable insights that drive business growth and efficiency. This is a hands-on role that r…",,,2025-12-25T17:39:58Z,IT Jobs
data analyst,Manager Data Analyst,Dentsu India,India,"Awarded the Oscars of the advertising world, The Cannes Global Agency of the Year 2022 (a first for India!) Dentsu international comprises of six leadership brands - Carat, dentsu X, iProspect, Isobar, dentsuMB and Merkle, each supported by its specialist divisions and scaled services. With best-in-class services and solutions in Media, Customer Experience Management (CXM), and Creative, dentsu international operates in over 145 markets worldwide with more than 66,000 dedicated talented employe…",,,2025-12-19T08:57:39Z,"PR, Advertising & Marketing Jobs"
data analyst,Senior Data Analyst,Capco,"Bangalore, Karnataka","Role: Senior Data Analyst Experience: 7 Years Location : Bengaluru, Pune Immediate joiners Kindly fill the below form. https://forms.office.com/r/nCZ440z2pc Job Requirements: Must have skills: Python, Pyspark and SQL • Excellent analytical skills and commercial acumen. • Good understanding of the control requirements surrounding data handling • Experience of big data programmes preferable • Strong verbal and written communication skills • Strong self-starter with strong change delivery skills w…",,,2025-12-13T09:40:42Z,IT Jobs
data analyst,Fraud Data Analyst,Airtel Payments Bank,India,Fraud Analytics 1. Develop Fraud Detection Models: Design and deploy predictive analytics models and machine learning algorithms to identify suspicious activities and patterns. 2. Enhance Systems: Continuously optimize fraud monitoring systems to improve detection accuracy and reduce false positives. 3. Data-Driven Insights: Analyze internal and external data sources to identify vulnerabilities and recommend proactive measures. 4. Performance Metrics: Define and track key performance indicators…,,,2025-12-09T09:02:13Z,IT Jobs
data analyst,Clinical Data Analyst,Agilisium Consulting,"Hyderabad, Telangana","About Agilisium Agilisium is the Life Sciences industry’s premier Autonomous Agentic AI and Applied AI Services Company . We reimagine, develop, and co-develop AI-engineered business processes that are autonomous, scalable, and purpose-built for Life Sciences. Over the past decade, we’ve established deep credibility across global pharma and biotech organizations through our specialized expertise and consistent growth: Everest Group – Recognized as a Leader in Life Sciences Digital Services for …",,,2025-12-19T08:54:26Z,IT Jobs
data analyst,Senior Data Analyst,VMock,India,"About the Role We are looking for a Sr. Data Analyst who can transform complex, non-numerical datasets into meaningful insights using a blend of data analytics and large language model (LLM) capabilities. This role is ideal for someone who is passionate about analyzing text, audio, and video data , skilled at leveraging prompt engineering for deeper qualitative insights, and can bridge the gap between AI-driven analysis and business problem-solving. Key Responsibilities Analyze and interpret un…",,,2025-12-11T09:27:41Z,IT Jobs
data analyst,Senior Data Analyst,ADM,"Bangalore, Karnataka","Position Summary: As a part of our transformation, we know that data is at the center of everything that we do. We seek a dedicated professional to help take us to the next level of our Data & Analytics journey. We depend on our Data Analysts to investigate data seeking opportunities to reduce duplicates, improve the quality and discover anomalies that may exist, and then create the specifications and designs that will allow us to develop intuitive solutions. Job Responsibilities: Provide deep …",,,2025-12-19T08:56:00Z,IT Jobs
data analyst,Senior Data Analyst,Sambodhi Research and Communications Pvt. Ltd.,"Tamil Nadu, India","About us: Sambodhi Research and Communications Pvt Ltd. provides evidence-based insights to seed and catalyze scalable social impact. Our research, data, strategy consulting, monitoring, and evaluation solutions support implementers, governments, foundations, and donors in the design and execution of programs and policies that improve the lives of people and the planet. We are domain-agnostic and work across a spectrum of areas, including public health, WASH, natural resource management, energy…",,,2025-12-25T13:40:46Z,Scientific & QA Jobs
data analyst,Portfolio Data Analyst,Arcana,India,"We are seeking dynamic Portfolio Data Analysts to join our team and collaborate closely with our founders, financial analysts, product managers, and engineers. In this role, you'll play a pivotal part in supporting our client onboarding and success team. You'll need a strong ability to analyze financial data, translate insights into actionable strategies, and effectively guide clients through our platform's features to drive their success. Responsibilities: Analyze and onboard portfolio data fr…",,,2025-12-10T19:02:09Z,IT Jobs
